Date,Tweet
23-11-22 6:31,"b""-I'm mexican\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\n-I speak English and Spanish(can't text in Spanish but can read it)\n-I like texting people on here and I like making friends \n-I'm down for normal conversations and freaky conversations(trading pics stuff Ike that)\n-and I'm into lots of stuff so almost limitless"""
23-11-22 6:27,b'@mrthreeoh5ive ive seen three people gatekeep being mexican today because someone was speaking english'
23-11-22 6:27,"b""@adz48211 @HairyPolitical @Stephfortrump1 @ak_julee @ganthbaker @kylenabecker @elonmusk @Twitter None of this is racist. Are you kidding me? Finding a loophole to try to disqualify a political opponent is not racist. Talking about Mexican cartels who are murdering people is not racist. And he never called Neo nazis good people. He specifically said he wasn't talking of them"""
23-11-22 6:21,b'@RezClay @Nerdrotics That\xe2\x80\x99s crazy cause I\xe2\x80\x99m Mexican and I like Tenoch. Weird how people from the same country can have different views huh like you probably being butthurt at what he says'
23-11-22 6:16,"b'Mexican fan converts to #Islam at Katara mosque in #Doha, #Qatar.\n\nIt\xe2\x80\x99s being reported that over 500 people have converted to Islam over the past week. \n\n#Qatar2022 #QatarWorldCup2022 #FIFAWorldCup..'"
23-11-22 6:07,b'@perowwizzydo Thank you! I  was telling him that for most people no matter the food they usually eat will do more traditional foods for Christmas and maybe New Years but the groceries store be full of American thanksgiving dishes most will make that. He said he hopes Mexican make a huge spread'
23-11-22 6:07,"b'@LannisterKenroy @tkajr7 @YoMane21 @Jags4SBLVII @categoryCHRISSY @DailyLoud and idk why but black people can\'t make up their mind on who can say it or not, like I see yt people saying it in front of black people because they ""grew up with them"". or I see Mexican people saying in front of black people just cus, and when i mean mexican people imeanall ofem'"
23-11-22 6:05,"b'@TetsuBaer @GravityGrace27 @WearyEnigma @ElGab So, Mexican people from today are now being generalized with their ancestors from over a hundred years ago?'"
23-11-22 5:59,"b""@ManuelS58925843 @Leomoreno33 @BallsackSports And those who defend the translation because your country decided it was cute to call them that is your thing. I'm not Mexican and it means the same for the people of my culture, it's disrespectful period. But I'm not surprised ppl from Argentina assume I'm Mexican"""
23-11-22 5:55,b'@RespectfulMemes The mom is mexican! Of course they are amazing and gentle people! \xf0\x9f\x92\x9e'
23-11-22 5:54,"b'jewish people be like ""i will not eat the bugs"" https://t.co/kpB8RtVVEB'"
23-11-22 5:50,"b'@JMML777 @SaraRamirez1694 @bealmear_laura @ChidiNwatu @laurenboebert Do you remember , Mexico was apart of the United States. So technically ,we are pushing people out that where already here. (Mexican-AmericanWar) However , we don\xe2\x80\x99t need borders open to all. We can\xe2\x80\x99t just move to their country with open arms. I get It.'"
23-11-22 5:49,"b'@Firecat40 @Davane75 @sswenviron @CalltoActivism They get treated differently by people like you. To you everything is Chinese American, African American, Mexican American, Gay American. You put everyone into stereotypical boxes labeling them as you will.\n\nTo me they are all just Americans, just like myself.'"
23-11-22 5:40,"b'@cl822 @carlamitchell97 @MsMac17127035 @pdx_mb @BuffaloBearGuy @fakedansavage In Uvalde, it\xe2\x80\x99s more like Mexican people don\xe2\x80\x99t vote at all. Those who do vote, will vote with republicans. It\xe2\x80\x99s weird.'"
23-11-22 5:40,"b'i ain\xe2\x80\x99t Puerto Rican, Dominican or Mexican but my people get down too the fuck?!'"
23-11-22 5:30,"b'6/7\n#metoo #metooindia #japanese #usa #Chinese #indian #indonesian #pakistan #nigeria #russian  #brazil #Mexican\n\nYour brain is unfortunately worse than you!\nWe can change that with:\n\n        1 YEAR WITHOUT BIRTHS: IT IS NOTHING\n\nMost of you:\n\nYOU WANT TO BE GOOD, NORMAL PEOPLE'"
23-11-22 5:28,"b'This mf really parade rested, and then marched in the middle of the road \xf0\x9f\x98\xad\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3, had a crackhead call me a fucking Mexican and talking bout how momma hates my kind\xf0\x9f\x98\xad god bless the people who deal with the general public'"
23-11-22 5:27,b'@TheRealCallsInQ @miseleccionmx He ain\xe2\x80\x99t Mexican and you root against our people in boxing but ride for us in soccer FOH you buster REAL MEXICANS ALWAYS ROOT FOR OUR PEOPLE \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\xab\xb5\xf0\x9f\x8f\xbc\xf0\x9f\x9a\xab\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
23-11-22 5:26,b'Do you people remember that issue of Supa Strikas where Shakes went to ancient Aztec ruins to train to defeat a Mexican goal keeper? https://t.co/yI89g6yyrj'
23-11-22 5:23,"b'The best part of these exchanges is the constant trolling of each other. Never mean-spirited, always w love. Us Brown people, whether Indian, Bangladeshi, Mexican (me), Black, Arab, Yemeni, and otherwise, we all have this insatiable appreciation for trolling one another \xe2\x9d\xa4\xef\xb8\x8f'"
